RegionName,State,City,EndMonth,MedianHomeValue
Adams Morgan,DC,Washington,2023-03-31,567135.8607231672
Shaw,DC,Washington,2023-03-31,788968.3907734803
Navy Yard,DC,Washington,2023-03-31,669934.3163957183
NoMa,DC,Washington,2023-03-31,514101.7206880997
Anacostia,DC,Washington,2023-03-31,398259.9024066625
Columbia Heights,DC,Washington,2023-04-30,642441.1413457711
Capitol Hill,DC,Washington,2023-04-30,925629.0411
Petworth,DC,Washington,2023-04-30,690130.0928103776
Adams Morgan,DC,Washington,2023-04-30,567448.8468245458
Shaw,DC,Washington,2023-04-30,789419.7752099455
Navy Yard,DC,Washington,2023-04-30,671447.0546394442
NoMa,DC,Washington,2023-04-30,511282.0717613318
Anacostia,DC,Washington,2023-04-30,398176.1506549709
Columbia Heights,DC,Washington,2023-05-31,641498.8698205771
Capitol Hill,DC,Washington,2023-05-31,926169.9713150542
Petworth,DC,Washington,2023-05-31,687337.2197332005
Adams Morgan,DC,Washington,2023-05-31,568324.9243
Shaw,DC,Washington,2023-05-31,789310.3036157992
Navy Yard,DC,Washington,2023-05-31,673375.2110596468
NoMa,DC,Washington,2023-05-31,509021.0906
Anacostia,DC,Washington,2023-05-31,398920.73935724975
Columbia Heights,DC,Washington,2023-06-30,641440.3453750758
Capitol Hill,DC,Washington,2023-06-30,927929.6059579706
Petworth,DC,Washington,2023-06-30,685799.8854808817
Adams Morgan,DC,Washington,2023-06-30,570034.8077577777
Shaw,DC,Washington,2023-06-30,790315.9190457877
Navy Yard,DC,Washington,2023-06-30,675672.7538495674
NoMa,DC,Washington,2023-06-30,507901.8402148725
Anacostia,DC,Washington,2023-06-30,400364.36359092133
Columbia Heights,DC,Washington,2023-07-31,642815.1744065356
Capitol Hill,DC,Washington,2023-07-31,929819.7644880764
Petworth,DC,Washington,2023-07-31,686174.2613864908
Adams Morgan,DC,Washington,2023-07-31,573136.2489598221
Shaw,DC,Washington,2023-07-31,792313.1532900076
Navy Yard,DC,Washington,2023-07-31,678357.5760211287
NoMa,DC,Washington,2023-07-31,507991.5148232716
Anacostia,DC,Washington,2023-07-31,401313.0851566033
Columbia Heights,DC,Washington,2023-08-31,645399.2264076485
Capitol Hill,DC,Washington,2023-08-31,930342.9101109247
Petworth,DC,Washington,2023-08-31,687695.7747382045
Adams Morgan,DC,Washington,2023-08-31,577016.6335945672
Shaw,DC,Washington,2023-08-31,795186.7414
Navy Yard,DC,Washington,2023-08-31,682684.2090871467
NoMa,DC,Washington,2023-08-31,507070.2861
Anacostia,DC,Washington,2023-08-31,401528.7759267758
Columbia Heights,DC,Washington,2023-09-30,647650.9630913214
Capitol Hill,DC,Washington,2023-09-30,928499.17598085
Petworth,DC,Washington,2023-09-30,688969.8852569564
Adams Morgan,DC,Washington,2023-09-30,580549.9171
Shaw,DC,Washington,2023-09-30,797309.6009067302
