,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
251,THEFT/OTHER,Shaw,2019,1837
252,THEFT/OTHER,Columbia Heights,2019,1892
253,THEFT/OTHER,Capitol Hill,2019,1598
254,BURGLARY,Petworth,2019,501
255,THEFT/OTHER,Dupont Circle,2019,1134
256,THEFT/OTHER,Adams Morgan,2019,635
257,THEFT/OTHER,Adams Morgan,2019,635
258,THEFT/OTHER,Columbia Heights,2019,1892
259,THEFT F/AUTO,Sixteenth Street Heights,2019,813
260,THEFT/OTHER,Capitol Hill,2019,1598
261,THEFT/OTHER,Dupont Circle,2019,1134
262,THEFT/OTHER,Shaw,2019,1837
263,THEFT F/AUTO,Columbia Heights,2019,1892
264,THEFT/OTHER,Columbia Heights,2019,1892
265,THEFT F/AUTO,Shaw,2019,1837
266,ROBBERY,Columbia Heights,2019,1892
267,ROBBERY,Columbia Heights,2019,1892
268,THEFT F/AUTO,NoMa,2019,441
269,MOTOR VEHICLE THEFT,Shaw,2019,1837
270,THEFT F/AUTO,Shaw,2019,1837
271,THEFT/OTHER,Navy Yard,2019,359
272,THEFT/OTHER,NoMa,2019,441
273,ASSAULT W/DANGEROUS WEAPON,Petworth,2019,501
274,ASSAULT W/DANGEROUS WEAPON,Shaw,2019,1837
275,BURGLARY,Dupont Circle,2019,1134
276,THEFT/OTHER,Columbia Heights,2019,1892
277,THEFT F/AUTO,Sixteenth Street Heights,2019,813
278,THEFT/OTHER,Navy Yard,2019,359
279,ROBBERY,Capitol Hill,2019,1598
280,THEFT/OTHER,Shaw,2019,1837
281,THEFT/OTHER,Capitol Hill,2019,1598
282,THEFT/OTHER,Sixteenth Street Heights,2019,813
283,THEFT F/AUTO,Capitol Hill,2019,1598
284,THEFT/OTHER,Dupont Circle,2019,1134
285,THEFT/OTHER,Capitol Hill,2019,1598
286,THEFT F/AUTO,Dupont Circle,2019,1134
287,THEFT F/AUTO,U Street Corridor,2019,288
288,THEFT F/AUTO,Shaw,2019,1837
289,THEFT/OTHER,Capitol Hill,2019,1598
290,THEFT/OTHER,Sixteenth Street Heights,2019,813
291,THEFT F/AUTO,NoMa,2019,441
292,THEFT/OTHER,Shaw,2019,1837
293,BURGLARY,Columbia Heights,2019,1892
294,THEFT F/AUTO,Shaw,2019,1837
295,THEFT/OTHER,NoMa,2019,441
296,THEFT F/AUTO,Dupont Circle,2019,1134
297,THEFT F/AUTO,Shaw,2019,1837
298,THEFT F/AUTO,Dupont Circle,2019,1134
299,BURGLARY,Columbia Heights,2019,1892
300,THEFT/OTHER,Capitol Hill,2019,1598
301,ASSAULT W/DANGEROUS WEAPON,Adams Morgan,2019,635
302,THEFT F/AUTO,Adams Morgan,2019,635
303,SEX ABUSE,Columbia Heights,2019,1892
304,THEFT F/AUTO,Dupont Circle,2019,1134
305,THEFT/OTHER,Columbia Heights,2019,1892
306,THEFT F/AUTO,Columbia Heights,2019,1892
307,THEFT F/AUTO,Shaw,2019,1837
308,MOTOR VEHICLE THEFT,Petworth,2019,501
309,ASSAULT W/DANGEROUS WEAPON,Capitol Hill,2019,1598
310,THEFT F/AUTO,U Street Corridor,2019,288
311,THEFT F/AUTO,Dupont Circle,2019,1134
312,THEFT F/AUTO,Columbia Heights,2019,1892
313,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2019,1892
314,THEFT/OTHER,Shaw,2019,1837
315,BURGLARY,Sixteenth Street Heights,2019,813
316,THEFT F/AUTO,Dupont Circle,2019,1134
317,THEFT F/AUTO,U Street Corridor,2019,288
318,THEFT/OTHER,Adams Morgan,2019,635
319,THEFT/OTHER,Sixteenth Street Heights,2019,813
320,THEFT F/AUTO,Shaw,2019,1837
321,THEFT F/AUTO,Columbia Heights,2019,1892
322,THEFT F/AUTO,Dupont Circle,2019,1134
323,THEFT F/AUTO,Capitol Hill,2019,1598
324,THEFT/OTHER,Columbia Heights,2019,1892
325,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2019,1892
326,THEFT/OTHER,Columbia Heights,2019,1892
327,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2019,813
328,THEFT/OTHER,Columbia Heights,2019,1892
329,THEFT F/AUTO,Columbia Heights,2019,1892
330,THEFT F/AUTO,Shaw,2019,1837
331,THEFT F/AUTO,Columbia Heights,2019,1892
332,BURGLARY,Sixteenth Street Heights,2019,813
333,THEFT/OTHER,NoMa,2019,441
