,OFFENSE,NEIGHBORHOOD_CLUSTER,NBH_NAMES,COUNT,YEAR,TotalOffenseCount
10573,ASSAULT W/DANGEROUS WEAPON,Cluster 28,Historic Anacostia,1,2021,469
10574,BURGLARY,Cluster 25,Union Station,1,2021,524
10575,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10576,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10577,MOTOR VEHICLE THEFT,Cluster 28,Historic Anacostia,1,2021,1524
10578,MOTOR VEHICLE THEFT,Cluster 1,Adams Morgan,1,2021,1524
10579,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10580,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10581,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10582,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10583,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10584,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10585,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10586,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10587,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10588,ASSAULT W/DANGEROUS WEAPON,Cluster 18,Petworth,1,2021,469
10589,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10590,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10591,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10592,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
10593,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
10594,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
10595,ROBBERY,Cluster 7,Shaw,1,2021,775
10596,ROBBERY,Cluster 18,Petworth,1,2021,775
10597,MOTOR VEHICLE THEFT,Cluster 27,Navy Yard,1,2021,1524
10598,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
10599,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10600,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
10601,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10602,ROBBERY,Cluster 3,Shaw,1,2021,775
10603,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10604,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10605,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10606,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
10607,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10608,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10609,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
10610,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10611,ROBBERY,Cluster 1,Adams Morgan,1,2021,775
10612,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
10613,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10614,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10615,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10616,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10617,MOTOR VEHICLE THEFT,Cluster 7,Shaw,1,2021,1524
10618,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10619,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10620,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
10621,BURGLARY,Cluster 28,Historic Anacostia,1,2021,524
10622,ASSAULT W/DANGEROUS WEAPON,Cluster 3,Shaw,1,2021,469
10623,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10624,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10625,ASSAULT W/DANGEROUS WEAPON,Cluster 6,Dupont Circle,1,2021,469
10626,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10627,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10628,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10629,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
10630,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10631,SEX ABUSE,Cluster 27,Navy Yard,1,2021,69
10632,ROBBERY,Cluster 25,Union Station,1,2021,775
10633,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
10634,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10635,ASSAULT W/DANGEROUS WEAPON,Cluster 28,Historic Anacostia,1,2021,469
10636,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10637,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
