,RegionName,State,City,EndMonth,MedianHomeValue
4042,NoMa,DC,Washington,2023-11-30,497801.83963856025
4054,Anacostia,DC,Washington,2023-11-30,396086.2053890326
4130,Columbia Heights,DC,Washington,2023-12-31,646032.7972301379
4131,Capitol Hill,DC,Washington,2023-12-31,917633.8481194234
4132,Petworth,DC,Washington,2023-12-31,683272.6141761413
4133,Adams Morgan,DC,Washington,2023-12-31,582018.6396778208
4141,Shaw,DC,Washington,2023-12-31,792331.5662938709
4152,Navy Yard,DC,Washington,2023-12-31,679209.8522397749
4160,NoMa,DC,Washington,2023-12-31,491062.8292525784
4172,Anacostia,DC,Washington,2023-12-31,394302.07827809546
4248,Columbia Heights,DC,Washington,2024-01-31,644170.0479832211
4249,Capitol Hill,DC,Washington,2024-01-31,913032.4446157352
4250,Petworth,DC,Washington,2024-01-31,679801.1203328143
4251,Adams Morgan,DC,Washington,2024-01-31,581187.4075897237
4259,Shaw,DC,Washington,2024-01-31,789753.5194926308
4270,Navy Yard,DC,Washington,2024-01-31,675388.1906913487
4278,NoMa,DC,Washington,2024-01-31,485113.3505295876
4290,Anacostia,DC,Washington,2024-01-31,392838.8620028211
4366,Columbia Heights,DC,Washington,2024-02-29,644019.0644236291
4367,Capitol Hill,DC,Washington,2024-02-29,910925.9613
4368,Petworth,DC,Washington,2024-02-29,678476.0870426596
4369,Adams Morgan,DC,Washington,2024-02-29,581224.9316154746
4377,Shaw,DC,Washington,2024-02-29,789798.7880720003
4388,Navy Yard,DC,Washington,2024-02-29,673840.8050945165
4396,NoMa,DC,Washington,2024-02-29,482539.75414772384
4408,Anacostia,DC,Washington,2024-02-29,392657.6899647179
4484,Columbia Heights,DC,Washington,2024-03-31,644743.6896523961
4485,Capitol Hill,DC,Washington,2024-03-31,910974.6203
4486,Petworth,DC,Washington,2024-03-31,679018.3699199151
4487,Adams Morgan,DC,Washington,2024-03-31,582268.7665635595
4495,Shaw,DC,Washington,2024-03-31,791519.1120305861
